garbage	reading	conf	status
y*ix	ארץ	92	applied
D^ttJa y-ix,	ארץ כשדים	90	notfound
xb csn HT,	זה העם לא	84	applied
d^asaa	כנענים	90	applied
diixb	לציים	91	applied
-pat	ארץ	91	applied
frr	זה	96	applied
-px	ארץ	92	applied
ta^nja,	בשדים	74	lowconf
%QOVO$ fiaaittmg,	χρόνος βασιλέως	97	applied
%Qovog av&Qconov),	χρόνος ἀνθρώπου	82	applied
ins ^»	מלך אחד	91	applied
necessa	שת	67	lowconf
nssrx	אתננה	85	applied
PTIS,	עתיק	76	lowconf
into^/me	into fine	89	applied
p^n	מפוק	72	lowconf
psn	ῬΞῺ	69	lowconf
'pxn	הארץ	91	applied
d'ha	מרום	91	applied
of/or,	of for	96	applied
pn	חק	96	applied
itbx	אלה	96	applied
fibnx	אבלה	91	applied
"psm	שאון	86	applied
irnp	קריע	90	applied
r,^"ip,	קרית	83	applied
tva	בית	73	lowconf
iirrx	צוחה	90	applied
rws	ערבה	90	applied
siias	עברה	96	applied
n^as	נגלת	75	lowconf
"fixn,	הארץ	82	applied
n^xa	טוארה	74	lowconf
ibns	צהלו	90	applied
B^a	מים	71	lowconf
"ja	מן	92	applied
thejires	the fires	96	applied
tn-inn	בהרים	68	lowconf
p^s	צדוק	91	applied
i;a	בגר	71	lowconf
iaa	בגד	89	applied
is*	צבר	75	lowconf
piixb	לצדיק	86	applied
inft	פחד	85	applied
^>ipa	מקול	89	applied
bip	קול	96	notfound
ris-fca	מילונה	69	lowconf
fiVia	מרום	92	applied
siaix ;	אדמה	83	applied
n^tx	ארפה	80	applied
nsox	אספה	89	applied
lips'1.	יפקדו	83	notfound
risab	לבנה	93	applied
mss	עצות	90	applied
fiaiES	אמונה	92	applied
wxsas	8 צצות	69	lowconf
fc^fi	פלא	91	applied
Miax	אמוכת	80	notfound
(ytvoiio)	γένοιτο	94	applied
iia-.ax	צמונה	76	lowconf
d*nt 'paix : '	ארמון זרים	77	lowconf
svfisa	בצגרה	85	applied
DI^IT	זרים	90	applied
a^is	גולם	87	applied
fisn	מעוז	66	lowconf
^"ip	קור	97	applied
nasn	רענה	83	notfound
s-osn	תכניע	92	applied
nss"1	רעפדז	71	lowconf
laia	טמר	75	lowconf
D^ppTft	מזקקים	92	notfound
raib	לוש	80	applied
ftdvaros	ϑάνατος	88	applied
aV nxo?	εἰς νῖκος	69	lowconf
conspicu	סוק 60	66	lowconf
nns-.a	מרכבה	91	notfound
"jai	דמן	90	applied
ma-is	ארבות	91	applied
imsa b-'&iBn	חשפיל גאותו	90	applied
amutt	משגב	77	applied
za/o^ xal 7T?QiTei%og.	τεῖχος καὶ περίτειχος	92	italic
"laia	שמר	88	applied
*pBO "^	יצר סמוך	86	applied
'yciD	סמוך	92	applied
WM	בטוח	93	notfound
ico xvQt<p xvQiog.	τῷ κυριῷ κυριος	71	lowconf
rns-n	רהוה	90	applied
aaiaa,	משגב	80	applied
ynnx	אביון	88	applied
iofeet.	to feet	95	applied
obs	פלס	91	applied
"pafittrain	מו משפטיך	84	applied
li^p	קוינו	80	applied
*>rn!J	שחר	96	applied
pafove	μαϑετε	82	applied
(i^tm	רחזיון	71	lowconf
itm)	רחזו	87	applied
nxip	קנאת	92	applied
Tm">	ירתזו	66	lowconf
bsstn	תאכל	92	applied
ns^n	תשפת	80	applied
D^NS^I	רפאים	81	applied
t^jxm,	רפאים	77	applied
DTia,	מתרם	67	lowconf
CPKSp	רפאים	91	applied
(laTQol ov py avaaT^covai).	ἰατροὶ οὐ μὴ ἀναστήσουσι	94	applied
nprn	רהקת	86	applied
"pK iisp	קצור ארץ	68	lowconf
tts	עם	75	applied
"ppx	צקון	90	applied
ttjnb	לחש	95	applied
"pova,	מוסרך	90	applied
D-IOVO,	מוסרם	91	applied
iaSD	פמו	76	lowconf
y-ix	ארץ	90	applied
ibs^.	רפלו	79	lowconf
ynx.	ארץ	90	applied
bzn	הבל	95	applied
"pEip*1	רקומון	88	applied
b-'Bn	הפיל	89	applied
c^s-i	רפאים	91	applied
b^sn	הפיל	66	lowconf
naQafiolri)	παραβολῇ	81	applied
CST,	זעס	69	lowconf
xa,	בא	86	applied
"pVi	דלתך	91	applied
"psa	בעדך	76	lowconf
"px	ארץ	90	applied
rns	ברח	95	applied
irna	בריח	83	applied
nttijD	קשה	90	applied
-pia	שיר	74	lowconf
ttss	ΓΝ	65	lowconf
n^T	זרת	80	applied
">aiD	כרמר	91	notfound
Di^pnb	לבקרים	77	lowconf
ftasi	רעשה	73	lowconf
nxDXS,	סאסאה	83	applied
nxo	סאה	96	applied
rta!),	שלת	78	lowconf
rpBSO	סצפיה	90	applied
n'l'nsia ^na	נחל מצרים	90	applied
TTIK	אחד	92	applied
peOvovzes avev o/Vor.	μεϑύοντες ἄνευ οἴνου	88	italic
HICF&COTOI.	μισϑωτοί	87	applied
wxa	גאות	76	applied
hi'n	הור	91	applied
oivon).y%	οἰνοπληξ	85	applied
sn'.rri	רהוה	82	applied
has/row,	has from	96	applied
-istt)	טער	71	lowconf
($ia)*	βίῳ	70	lowconf
rvnos	עטרות	75	lowconf
^Ti'sa	בעוד	89	applied
ns^x	אישה	72	lowconf
"px	ציץ	91	applied
nsist	צרצת	88	applied
^ab	נבל	83	applied
nann na-n	רראה הראה	69	lowconf
(m&o	רארה	88	applied
"^bin	מו פהן	74	lowconf
mMs	פליליה	85	applied
njai	πλῷ	75	lowconf
"Dai	טכר	81	applied
isbna	נבלעו	82	applied
ips	פקו	93	applied
"Jft^tt?	שלחן	75	lowconf
JixH	ראה	96	applied
nih	חוה	83	applied
tixis	צאה	91	applied
MNS	צאה	93	applied
a^p.	קיא	87	notfound
pw	עמיק	74	lowconf
SISTQIS	טמועה	70	lowconf
ip	קו	93	applied
ip	קו	93	applied
ftSW ^sb	לעג" שפה	89	applied
nnwa	מנגחה	69	lowconf
csrt	חעם	69	lowconf
^pv	שקר	92	applied
bifitiu	שאול	92	applied
alia, Jrrn	חזה ,שוט	90	applied
(avoiag ea%drqs).	ἀνοίας ἐσχάτης	96	applied
"pEXE	מאמין	90	applied
i^ai	לבחש	76	lowconf
IPD,	סתר	68	lowconf
off/,	οἵ τέ	75	lowconf
m^r	שורה	94	applied
rmr	שורה	96	notfound
mrri niiiis,	שורה ושערה	72	lowconf
j'tco^/W VTTO	γεωργίαν ὑπὸ	97	italic
cnb	לחם	90	applied
TO-IB	פרסיו	92	applied
prom	גמסיוק	83	notfound
bx-^n	הרדאל	74	lowconf
ol	οἱ	77	applied
B^&n	חגים	86	applied
zxv -]*by irmi	וצרתי עליך מצב	79	lowconf
"p^ft	המון	75	lowconf
cntri	חזים	93	applied
^Bt>,	ΞΌ	87	applied
IDG si*1,	ירדע ספר	82	applied
prn	רחק	80	applied
rnsha	מלמדה	92	applied
wxa.	מצוה	83	applied
^bi^;	יוסףם	70	lowconf
bs;i3n	הפרמל	69	lowconf
isn	לבר	84	applied
n-oia	מוכיח	92	applied
^sx	אשר	79	applied
bx	אל	96	notfound
snoifoare (svv&^ag.	ἐποιήσατε συνϑήκας	92	applied
d^-mo	סוררים	66	lowconf
o^fi	הלכים	90	applied
wai bsn,	חנס יגיעו	79	lowconf
isa*"	ררגצו	74	lowconf
tixa	באש	96	applied
nomi	ומזסת	67	lowconf
npisi rm -px	ארץ צרה וצוקה	85	applied
"px	ארץ	92	applied
tsn^a	מהם	89	applied
r,Bisa spu:,	טרה מעופף	78	lowconf
niTsra	בהמות	88	applied
nfcm	דבשת	90	applied
bs	על	94	halfword
DS	ὩΣ	76	lowconf
raaj	שבת	70	lowconf
ipfc^p	קראתו	90	notfound
p^-i	ריק	88	applied
rrte	לוח	96	applied
mb.	לוח	87	applied
pa*	ῬῺΣ	76	lowconf
ttp?,	עקש	68	lowconf
bsi ys	58} ΥῈ	77	lowconf
M:rn xb rvirs	פתות לא יחמל	92	applied
bg	קל	90	applied
tn	בן	70	lowconf
rciri	רבבה	90	applied
nolloi.	πολλοί	97	applied
-ftn	תרן	88	applied
nsrn	רחפה	68	lowconf
asj^	רשב	71	lowconf
ttJ'np	קדוש	92	applied
a<b	לא	93	applied
(iwv	τῶν	97	applied
"jax.	אמן	77	lowconf
finssa	פמאתם	85	applied
rosn	מסכה	91	applied
*r,t	זרא	95	applied
Jrtn	הרג	97	applied
pirna	מרחוק	93	applied
IBS.	אפו	90	applied
*>sfa	בער	93	applied
nxtoa	משאה	85	applied
rro	נחת	68	lowconf
nns	נתת	80	applied
nrn	חתת	76	lowconf
ri3*>	רפה	93	applied
STibto	מוסדה	89	applied
srrri	היחב	83	applied
S;P	רבא	88	notfound
have,/or	have, for	97	applied
bs	על	96	ambiguous
acs	צבא	90	applied
rvixast	צבאות	92	applied
"ifi	דקר	86	applied
m'B5	עפות	88	applied
nis?	כפות	83	applied
noe	פסת	90	applied
tt5l>'K"K^	לא-איש	84	applied
DTK'^b	לאדאדם	88	applied
tflix	ארש	89	applied
&c?a	מסס	79	applied
nsai	טצה	86	applied
bss	נבל	83	applied
nsflj bs> ta^a*	רמוים על פנה	71	lowconf
n-i'isb	ספדים	89	applied
bsi?	עפל	80	applied
inson's	5 מספחו	79	lowconf
mss	עבדה	91	applied
trirstt	מעשת	67	lowconf
m-a	ברדת	91	notfound
*ipm ^ps	פקר המקר	69	lowconf
V^on	חסיל	82	applied
pptts	שקק	78	lowconf
rrn	היה	78	lowconf
to,Gn	חסן	92	applied
n!b nsnx	אראצה לם	67	lowconf
avToig,	αὐτοῖς	79	lowconf
oqi&foopai,	ὀφϑήσομαι	87	notfound
sb	לם	80	applied
a^bios	ארצלים	86	applied
investiga	וט תו	69	lowconf
a-m	ארומם	90	applied
ma-hrix	אתרומם	89	applied
*IEO	ספר	92	applied
bpiu	טקל	92	applied
TSib	כועז	84	applied
asba	נלעג	90	applied
paral	הת	74	lowconf
-JST) ;	זמן	69	lowconf
cipa	מקום	91	applied
Qto	טם	75	lowconf
"pn	תרן	77	applied
tx	אז	90	applied
bVr "ir	ער טלל	83	applied
e^ian	הגורם	71	lowconf
nbss	נבלת	77	lowconf
ns;	זבח	89	applied
cfcn	ראס	66	lowconf
D-^an	ראמים	78	lowconf
ft^na	נחליה	78	lowconf
nsix	ארצה	93	applied
ei$	εἰς	97	applied
&op	קוא	96	applied
nefaxav,	πελεκᾶν	90	applied
(fyivoi).	ἐχίνοι	75	lowconf
si^^n	חרריה	88	applied
xnjD	קרא	96	applied
f^-in	חררה	74	lowconf
m-i-a	שררה	92	applied
n^-'SSBa	במבצ-יה	78	lowconf
i^sn	חציר	89	applied
fi^s	צררם	72	lowconf
(fioriGoviai).	βοήσονται	92	applied
a^s	ציים	75	lowconf
Stt	ΞΘ	71	lowconf
"^siB.	שעיר	65	lowconf
daipovia	δαιμόνια	91	applied
lyivog	ἐχῖνος	97	applied
(tiBp)	קפוז	92	applied
tion.	מסוז	79	notfound
fibss	בצלה	91	applied
sop"1 iiw -isc^a bs,	על מספר יהיה יקרא	84	applied
tJOp,	קראו	75	lowconf
I^B	פיו	82	applied
irm	רוחו	91	applied
"nstn	חציר	88	applied
sb	ΞΙΞ	84	applied
eqqttct TOV 'loQddvov),	ἔρημα τοῦ ᾿Ιορδάνου	92	applied
(p^i^n nrrt),	גדות הירדן	89	applied
nb	לה	96	applied
ISIE:,	נמחר	84	applied
ca^nbx	אלהיכם	90	applied
^ina	גמול	66	lowconf
i"p-3	נבקעו	91	applied
(avvdQog)	ἀνυδρος	87	applied
siaa	מבוע	90	applied
nsan	רבצה	96	notfound
-px	ארץ	92	applied
D^xzn (Kennicott), fis	פרץ , (10061מ168) רבצים	83	applied
nsns	פרצה	93	applied
'X-iB	פרצי	89	applied
nxan	רבצה	96	applied
-pn Kb	לא דרך	91	applied
nbibo xb -pi	דרך לא סלולה	86	applied
"p^i,	ודרך	82	applied
biboa	מסלול	91	applied
-pi	דרך	92	applied
ins	שבר	90	applied
tiisanaQftwoi,	διεσπαρμένοι	95	notfound
rvnn	חיות	86	applied
rvnn	חיות	67	lowconf
labm	והלכו	91	applied
nbis nnair	שמחת עולם	83	applied
(xaTatfipsrat avtovi),	καταλήψεται αὐτούς	96	applied
(nE&oi)	וראמר	69	lowconf
ol	οἱ	96	applied
tHBX	אמרת	87	applied
DTBtD -ai	דבר שפתים	73	lowconf
-even	תסצס	78	lowconf
bs	על	70	halfword
bs	על	90	applied
bx,	אל	70	applied
"pis	אדון	93	applied
rs	את	81	applied
m*a	מרפה	68	lowconf
"jS	פן	92	applied
"ja	פן	91	applied
bx,	אל	72	applied
D'V'iJ	שקים	92	applied
fvix	צרה	92	applied
(oveidifffjiov)	ὀνειδισμοῦ	91	notfound
rrDim	והוכיח	89	applied
mainVi.	ולחוכיח	83	applied
i-issn	וראמרן	76	lowconf
rm	רומ	84	applied
rm	רוח	90	applied
naia	בוטח	80	applied
DSmx	אותם	73	lowconf
imms*'	לפרשהו	88	applied
aip	קרב	97	applied
ygvnsg	γρυπὲς	79	lowconf
bs*>	לכל	94	applied
-pis,	אזנך	79	lowconf
nbc *IIBX	אשר שלח	91	applied
inbu ^TTX, i.e.	4 ,אשר שלחו	82	applied
c'.izifn,	וראכדום	66	lowconf
^UJX	אשר	91	applied
^bx	אלר	89	applied
"IIBS	אשר	90	notfound
insiais	טומעתי	76	lowconf
"nrx	אשר	72	applied
bx	אל	90	applied
bx	צל	92	applied
bs,	ΩΣ	70	applied
"p^nx	אחריך	91	applied
"psxba	מלאכיך	91	applied
asna	פרכב	71	lowconf
"Pnst rEip	קומת ארזיו	91	applied
oi-ua	מרום	91	applied
n'sp •)•&«	מלון קצח	67	lowconf
"iiss	מצור	85	applied
pimsb.	למ-חוק	72	lowconf
p'mnV,	להשות	74	lowconf
D"ba	גלים	71	lowconf
na^iia	שדפה	80	applied
riaita	שדמה	71	lowconf
t'ley	ΓἼΘΥ	70	lowconf
nxft.	שאה	79	lowconf
^KID	שאנן	92	applied
"JXTB,	שאן	72	lowconf
F&s	עלה	91	applied
rrso	ספית	82	applied
urno),	סחיש	88	applied
bisx	אכיל	71	lowconf
"}Sn	ἸΔῺ	86	applied
avraamrjpbt;	συτασπισμὸς	75	lowconf
naBipi	רקדמנה	89	applied
bx	אל	93	applied
nbbb	סללה	91	applied
fia	בה	91	applied
lg	ἐς	73	lowconf
OQ&MV evGefirfi SGIM.	ὀρέων εὐσεβὴς ἔστω	92	applied
(aa&evsia TTQO^ -&dvarov)	ἀσϑένεια πρὸς ϑάνατον	85	applied
rd^ai nfQ\ TOV ofxoi>	τάξαι περὶ τοῦ οἴχου	93	italic
trttM.ea&ai roig oixsiots.	ἐντέλλεσϑαι τοῖς οἰκείοις	93	applied
K3-bx	אלדנא	82	applied
ttx	אה	96	applied
n-fcsn,	מעלות	70	applied
rvibsa	מעלות	92	applied
rnbsan	המעלות	90	applied
nxwb	למנצח	91	applied
IEI	רביר	80	applied
TPIEX	אמרתר	81	notfound
ptaijppQia toi> /Jt'ov,	μεσημβρία τοῦ βίου	96	italic
rq> vyei iwv fjpeQmv	τῷ ὕψει τῶν ἡμερῶν	94	applied
^sm).	בחצי	79	lowconf
i-p	רה	89	applied
(ovou,	οὐαὶ	90	applied
cs?	עם	75	applied
Hn	חדל	91	applied
(ibn *zw).	רשבר חלר	78	lowconf
offaiishing	of finishing	95	applied
"nw	שפור	82	applied
ftpttJS	עטקה	81	applied
dh^y	עלרהם	76	lowconf
-pin	תודך	92	applied
ru^a	נגרנה	70	lowconf
n-na	מרח	90	applied
(zov otxov rwv aQWfidv&v)	τὸν οἶκον τῶν ἀρωμάτων	85	applied
mix's*	אישרות	73	lowconf
nnsax,	בצבאות	66	lowconf
oj	οἵ	65	lowconf
(anddovTas)	σπάδοντας	83	applied
np^,	רקח	73	lowconf
Ipov ftavovroe yala ^tf^TM	ἐμοῦ ϑανόντος γαῖα μιχϑήτω	91	italic
(Icall	ἘΠ	65	lowconf
(JSVW&G) dij)	γενέσϑω δὴ	93	applied
cies,	ΟἸ68	67	lowconf
xjx	ΧΙΧ	88	notfound
pre	ΡΓΘ	67	lowconf
ins	אמר	92	applied
iw	רחדו	88	applied
aoartjQiov tov dsoii),	σωτήριον τοῦ ϑεοῦ	91	applied
(qpow/	φωνὴ	89	applied
h'yovTov)	λέγοντος	89	applied
ittx	אמר	89	applied
(i-vayyeliG&tv)	εὐαγγελισϑέν	71	lowconf
nsn	הנה	95	applied
so'a,	בוא	92	applied
bs,	על	77	applied
ptrja	בחזק	78	lowconf
filbsB	פעלה	91	applied
iato	שכר	83	applied
him,&s	him, as	96	applied
^ab	שכר	79	applied
(fV ya.Gi(n l^ovaa^).	ἐν γαστρὶ ἐχούσας	84	italic
(naaav	πᾶσαν	97	applied
yJj?),	γῆ	77	lowconf
TQIU ^TQU,	τρία μέτρα	91	applied
rvm=n	חכמות	87	applied
allu	הוה	66	lowconf
"ia	מר	88	applied
I.ETTTOV	λεπτὸν	96	applied
DI?K	אלים	66	lowconf
osx	אפס	95	applied
ov&iv lloyiadqaav),	οὐϑὲν ἐλογίσ ϑησων	74	lowconf
-,ia	ΠῚ	75	lowconf
"jn	מן	90	applied
IB	בין	82	halfword
(noiv)	ποιο	74	lowconf
bx	Ἐς	71	lowconf
tthn	חרש	80	applied
oi	οἱ	87	applied
ttinn	חרש	87	applied
'ib	לי	91	applied
(ov yvmasa&8] oi>x	οὐ γνώσεσϑε; οὐκ	93	italic
ovdtv «(?/«»•),	οὐδὲν ἄρχειν	82	applied
(i^sx),	אפילו	70	lowconf
(Vbxs),	באלו	78	lowconf
nba	בכת	92	applied
"pas	אמיזן	73	lowconf
WJD	קוה	90	applied
^ox	אבר	75	lowconf
inj-nnn	החדרעוו	83	applied
(ov fydnqaa),	ὃν ἠγάπησα	79	lowconf
vpeit; ol TTOTS ovres	ὑμεῖς οἱ ποτὲ ὄντες	97	applied
tyzvt'j&tiTE.	ἐγενήϑητε	84	applied
bsx	ἘῸΝ	84	applied
(ayxwvwv).	ἀγκώνων	80	applied
"ft	בין	69	lowconf
OSN	אפס	95	applied
com	ΟΟΠῚ	67	lowconf
n^b*in .	תולעת	67	lowconf
(T^V^T^,	τε ϑνεῶτες	88	applied
m'sB^e	פ"פיות	67	lowconf
n^t	זרת	69	lowconf
tf'ha,	ברוש	78	lowconf
WSJ	הדהר	75	lowconf
sb	לב	91	applied
(ids	ἴδε	79	lowconf
avOQ03no^	ἄνϑρωπος	72	applied
vlog	υἱὸς	97	applied
ExxkrjGia	ἐκκλησία	91	applied
crp-ji's	נוטרהם	65	lowconf
cs	עם	91	applied
n-na	בררת	74	lowconf
rns	עדת	69	lowconf
nxs	פאה	96	applied
fiSBK	אפעה	93	applied
dbira ,	משפם	80	applied
ysn	חפץ	66	lowconf
fi*nina	בתגרים	73	lowconf
nnx">b	לידאתה	87	applied
arxin	הוציא	92	applied
xrin,	הוצא	87	applied
i.e.	כו	68	lowconf
tsa	גם	88	applied
O3:sisb	למענכם	75	lowconf
tvnsx	אנדות	81	applied
fwor,	ζῶον	71	lowconf
n^.b	שרים	72	lowconf
liti	טור	96	applied
-nstn	חציר	89	applied
dr>%r] ndvTKiv	ἀρχὴ πάντων	96	applied
rtletrj,	τελετή	96	applied
TZ^WTOC; tytv&to	πρῶτος ἐγένετο	96	italic
hbu'b:ro ,	מבלעדי	88	applied
fayopevoi &eol	λεγόμενοι ϑεοὶ	92	applied
N"nj3	קרא	94	applied
Witt,	מרחף	71	lowconf
ETX	אדם	82	applied
B^sss	עצים	74	lowconf
a^ss	עצים	78	lowconf
ir^x	איש	77	applied
Wjp	ראיתי	86	applied
(ots frr>	סו? סעס	79	lowconf
mel\	ηι6 7	73	lowconf
trtis	ἘΠῚΞ	83	applied
t^n	חקים	81	applied
ch.41 :	οἢ.41	79	lowconf
r&ix	צגלה	77	lowconf
rtett.	מצזלה	74	lowconf
ba^n	היכל	77	lowconf
KVQO*;	Κύρος	91	applied
rx	את	82	applied
Ctf	עם	92	applied
nou^a^	ποι, σαὺ	67	lowconf
S\X2D	סבאים	91	applied
(K"iino) ;	סחורא	76	lowconf
pt'yiGroi	μέγιστοι	92	applied
avdQconwv,	ἀνϑρώπων	85	applied
^ns	סחר	91	applied
Ob.	ΟΡ	90	applied
ZDJ lyco,	Ζῶ ἐγὼ	88	italic
Kbi	ולא	91	applied
^EX	אמר	85	applied
n^st	ΠΡῚΣ	82	applied
xir;	לבוא	90	applied
ot	οἱ	96	applied
CHAPTERXLVT.	CHAPTER XLVI	91	notfound
si'-ss^j	רבעוף	85	applied
THS,	עדיו	70	lowconf
o-.ina	נתררם	72	lowconf
V>?a,	על	72	applied
b^'p	קרס	85	applied
rrarja	בחמה	75	lowconf
anaE, teyopwov	ἅπαξ λεγόμενον	96	applied
*5tsn	חפצר	87	applied
thejfar	the far	96	applied
nss>	עצה	69	lowconf
rs	בת	91	applied
b:m	בבל	66	lowconf
tnito	מצרים	91	applied
WB	פגע	86	applied
av&Qwaos)	ἄνϑρωπος	87	notfound
bpK	אין	84	applied
hCBX	אפס	86	applied
&sx	אפס	96	applied
ii's	עור	96	applied
-en	חבר	91	applied
^XE	מצד	95	applied
nvsy	עצמה	76	lowconf
nsn	רעה	90	applied
inttj	שחר	93	applied
"inta	טחר	68	lowconf
nwa t^s ,	צאת ממנה	88	applied
rov OVQKVOV)	τοῦ οὐρανοῦ	95	applied
cto	נפשם	66	lowconf
"px	אין	75	applied
SBH^	לחמס	76	lowconf
esnb nbra	גחלת לחמם	90	applied
nrn	חמם	89	applied
t=D3n	חננכם	90	applied
"jsn	חנן	85	applied
com	ΟΟΠῚ	75	lowconf
fiWpa	נקראים	72	lowconf
^riaapi,	מבפוד	73	lowconf
pwtQO&vpos	μαχρόϑυμος	74	lowconf
(upyottQa antaredev	ἀμφότερα ἀπέστειλεν	96	applied
jrarijQ, TOV acoriJQa xai	πατὴρ, τὸν σωτήρα καὶ	93	applied
ayiov ptsvpa).	ἅγιον πτεῦμα	92	applied
xib,	לוא	87	applied
xb	כא	69	lowconf
ib	כז	82	applied
D^B	מעים	81	applied
(ovde	οὐδε	78	lowconf
ajrofocrai),	ἀπολεῖται	79	lowconf
(jMoVot? TOOV QUIOQ&V	μόνος τῶν ῥητόρων	96	italic
xt'vTQov r/xaTtlfine TDK;	κέντρον ἐγκατέλειπε τοῖς	90	italic
asitib	לשובב	75	lowconf
rvirn -rj<	אמר יהוה	71	lowconf
rna	בזה	88	applied
Jiia,	בזה	79	applied
^I'a	גור	71	applied
that/ro?n	that from	96	applied
D^O	סינים	73	lowconf
SIHSB	ΠῚ 5	81	applied
IB ,	מן	92	applied
supposi	ΒΌΡΡΟΒΙ	70	lowconf
Tis	עוד	88	halfword
(noiqcrdv	ποίησόν	77	lowconf
toaov)	τόπον	82	applied
ati-n	רושב	88	applied
ibr	ΤΟΥ	68	lowconf
TrafSayooyoV	παιδαγωγὸς	95	applied
t*m	אפים	86	applied
Tn	מז	93	applied
fiiptiov zoi>	βιβλίον τοῦ	96	applied
anoGiaoiov,	ἀποστασίου	96	applied
irr^n	תיבש	87	applied
nai8eia(;}	παιδείας	82	applied
(ynoffTijgtfftti),	ὑποστηρίσαι	82	applied
LiJ	ἘΞ	66	lowconf
rw	עגת	76	lowconf
(TOV yiwvai	τοῦ γιῶναι	78	lowconf
jjvixu dzidnsiv loyov).	ἡνίκα δεῖ εἰπεῖν λόγον	89	applied
TTQOGWTZOV avrov lariJQi^e)	πρόσωπον αὑτοῦ ἐστήριξε	80	applied
tion,	תסוז	85	notfound
(anexdvcdftwoi;,	ἀπεκδυσάμενος	86	applied
fi$b	נגה	67	lowconf
dicMQiTixov,	διαχρίτικον	84	applied
fi&ri TtsTivncopsva	βέλη πεπυρωμένα	96	applied
tion	מסוז	71	notfound
C^BS	עמים	66	lowconf
CIBS -lixb	לאור עמום	74	lowconf
ta^x	איים	88	applied
nba	מלח	84	applied
(WGTIEQ	ὥσπερ	88	applied
Tia .	בור	76	applied
ixfi	תאו	96	applied
awrhor jjpieqs&ov,	σεύτλιον ἡμίεφϑον	91	applied
Zion's	Ζιοηΐς	76	lowconf
rvati	טביה	93	applied
^nnann	ההפההר	67	lowconf
LTI.	3ῥλ ᾽Σ:ΊΧ	83	notfound
fc&xa	באפס	92	applied
IOBX.	אפסי	72	lowconf
nsEJOn	בראשנה	84	applied
csn	ἘΠ	69	lowconf
d^ttba	משלים	65	lowconf
b^n,	הלל	87	applied
o).o/.i'^w	ὀλολύξω	92	applied
iteaa	ביבשור	70	lowconf
nwtt) avj,	שזב שבגת	70	lowconf
wpov eywv yvpvbv tv	ὦμον ἔχων γυμνὸν ἐν	95	applied
fid^;	μάχῃ	96	applied
tpbri tf'iJi	נטא כלים	89	applied
(avvfoei)	συνήσει	83	applied
vant	ναηΐ	73	lowconf
linx'TO	מראהף	74	lowconf
vio	סוט	70	lowconf
bx	צל	86	applied
em&vw&wuEr.	ἐπιϑυμηϑῶμεν	83	applied
(&.uwios w*'fywr),	ἐλώχιστος ἄνδρων	69	lowconf
vnorr	הסתיר	90	applied
xb	כא	77	notfound
nt-a.	נבזה	67	lowconf
ntyyets ftsov (tdauyt	πληγεὶς ϑεοῦ μάστιγι	91	applied
^Tribd	טלומינל	91	applied
xal didfpoQOi rrjg nku.vi]q	χαὶ διάφοροι τῆς πλάνης	95	applied
TQOTTOI, ndvtsg opoicog	τρύποι, πάντες ὁμοίως	88	applied
xctTavrfaai inoiriGtv,	καταντῆσαι ἐποίησεν	95	applied
(xat avzotf vnfaovae)	καὶ αὐτὸς ὑπήκουσε	85	italic
xisri	והוא	76	lowconf
(ovtmg oi>% avofysi	οὕτως οὐκ ἀνοίγει	95	applied
ixs	עצר	83	applied
{3osteijty_jor	posterity or	95	applied
PK sel	1 את	93	notfound
nnib^	רשוחת	69	lowconf
PX	את	77	applied
fol	οἱ	96	notfound
i'a,	מו	73	lowconf
m'pa	במות	89	applied
"nntea	במותיו	81	applied
miaa,	במותיו	67	lowconf
(ia sa^i aia	טוב ורשבע בו	69	lowconf
tpsn	רבים	75	lowconf
N'jn Nitta	נטא חטא	65	lowconf
ttJ"^	ררש	89	applied
ri}>	לה	95	applied
""sssfr	תמאסי	70	lowconf
*iax	אמר	68	lowconf
""rttix	אשר	77	applied
v.v$QCMa,	ἄνϑρακα	80	applied
yvxog	φυχος	89	applied
rnsb	סערה	91	applied
fisnj	נחמה	80	applied
DHS .	כחם	72	lowconf
rrij?	קדת	90	applied
rna	גרה	96	applied
CBX	אפס	96	applied
rx	את	86	applied
ps-aft	לאדצץ	75	lowconf
rvna rns	כּרת ברית	71	lowconf
fcs.	עם	74	applied
rns	כרת	88	applied
rns	עדת	73	lowconf
*Ha	גור	82	applied
exposi	ΘΧΡΟΒΙ	74	lowconf
aiei	αἰεί	92	applied
Aioq xQeicaaw voog ijensQ	Διὸς κρείσσων νόος ἠέπεβ	66	lowconf
avdQcov.	ἀνδρῶν	96	applied
'rn	ררדי	77	lowconf
i^nnbtt) IIBX	אשר שלחתיו	91	notfound
rbv	טלת	71	lowconf
im'-iajsee	Wins, see	92	notfound
^B^t?	סרפר	90	applied
fc-nb	סריס	96	applied
n^s	ב"ת	78	applied
Q^n,	חזים	78	applied
D^sa	פנרם	89	applied
inat^n	מקצהו	65	lowconf
^rra	מחר	91	applied
o-n	יום	69	lowconf
biia	גדול	82	applied
o/(Prov.	of (Prov	97	applied
inba	נבחן	65	lowconf
bn:	נחל	84	applied
p^n	חלק	91	applied
"p-ct	זברון	92	applied
fina	מחם	90	applied
rrcn	תכרת	87	applied
r*ri	חלת	89	applied
nbn	חלה	89	applied
^-tan *•$	כ" תבזבי	65	lowconf
rni	רגח	66	lowconf
-IBsi	ואמר	85	applied
cbi:?	עוכם	81	applied
m'-ia	מרום	86	applied
